id,username,day,time,course,venue,academicyear,division,is_rescheduled
1,sunitakulkarni,Monday,09:30 - 10:30,Computer Vision,JN-105,FY,PGDAIML-SECA,f
2,chetankhadse,Monday,10:45 - 11:45,Data Analytics,JN-105,FY,PGDAIML-SECA,f
3,jyotilele,Monday,13:30 - 14:30,Natural Language Processing,JN-105,FY,PGDAIML-SECA,f
4,sumitramotade,Monday,14:30 - 15:30,Machine Learning Algorithms,JN-105,FY,PGDAIML-SECA,f
5,jyotilele,Monday,15:30 - 17:30,Natural Language Processing(LaB),KS-405,FY,PGDAIML-SECA,f
6,sunitakulkarni,Tuesday,09:30 - 10:30,Computer Vision,KS-405,FY,PGDAIML-SECA,f
7,sumitramotade,Tuesday,11:45 - 12:45,Machine Learning Algorithms,JN-105,FY,PGDAIML-SECA,f
8,bhaktiparanjape,Tuesday,13:30 - 14:30,Deep Learning Networks,JN-105,FY,PGDAIML-SECA,f
9,bhaktiparanjape,Tuesday,15:30 - 17:30,Deep Learning Networks(LAB),KS-405,FY,PGDAIML-SECA,f
10,sumitramotade,Wednesday,09:30 - 10:30,Machine Learning Algorithms,JN-105,FY,PGDAIML-SECA,f
11,jyotilele,Wednesday,10:45 - 11:45,Artificial Intelligence,JN-105,FY,PGDAIML-SECA,f
12,jyotilele,Wednesday,11:45 - 12:45,Artificial Intelligence,JN-105,FY,PGDAIML-SECA,f
13,sumitramotade,Wednesday,13:30 - 15:30,Machine Learning Algorithms(LAB),KS-405,FY,PGDAIML-SECA,f
14,sarikapatil,Wednesday,15:30 - 16:30,Machine Learning Mathematics,JN-105,FY,PGDAIML-SECA,f
15,chetankhadse,Thursday,08:30 - 09:30,Data Analytics,JN-105,FY,PGDAIML-SECA,f
16,jyotilele,Thursday,09:30 - 10:30,Artificial Intelligence,JN-105,FY,PGDAIML-SECA,f
17,sunitakulkarni,Thursday,10:45 - 11:45,Computer Vision,JN-105,FY,PGDAIML-SECA,f
18,sunitakulkarni,Thursday,11:45 - 12:45,Computer Vision,JN-105,FY,PGDAIML-SECA,f
19,chetankhadse,Thursday,14:30 - 15:30,Data Analytics,JN-105,FY,PGDAIML-SECA,f
20,sarikapatil,Thursday,15:30 - 16:30,Machine Learning Mathematics,JN-105,FY,PGDAIML-SECA,f
21,chetankhadse,Friday,08:30 - 10:30,Data Analytics(LAB),KS-405,FY,PGDAIML-SECA,f
22,jyotilele,Friday,10:45 - 11:45,Natural Language Processing,KS-405,FY,PGDAIML-SECA,f
23,jyotilele,Friday,11:45 - 12:45,Natural Language Processing,KS-405,FY,PGDAIML-SECA,f
24,bhaktiparanjape,Friday,13:30 - 14:30,Deep Learning Networks,KS-405,FY,PGDAIML-SECA,f
25,bhaktiparanjape,Friday,14:30 - 15:30,Deep Learning Networks,KS-405,FY,PGDAIML-SECA,f
26,sarikapatil,Friday,15:30 - 16:30,Machine Learning Mathematics,KS-405,FY,PGDAIML-SECA,f
27,bharatchaudhari,Monday,09:30 - 10:30,Research Methodology for eMobility,JN-105,FY,MTECHEMOBILI-SECA,f
28,saketyeolekar,Monday,10:45 - 12:45,Electric and Hybrid Vehicles(LAB),JN-005,FY,MTECHEMOBILI-SECA,f
29,gaurangmulay,Monday,13:30 - 14:30,Power Electronics for EV,JN-008,FY,MTECHEMOBILI-SECA,f
30,kishanprasadgunale,Monday,15:30 - 16:30,Au-motive Embedded Systems,JN-005,FY,MTECHEMOBILI-SECA,f
31,rasikabeohar,Monday,15:30 - 16:30,"Scientific Studies of Mind, Matter, Spirit & Consciousness",JN-005,FY,MTECHEMOBILI-SECA,f
32,rasikabeohar,Monday,16:30 - 17:30,"Scientific Studies of Mind, Matter, Spirit & Consciousness",JN-005,FY,MTECHEMOBILI-SECA,f
33,kunalpingle,Tuesday,08:30 - 09:30,Yoga,JN-005,FY,MTECHEMOBILI-SECA,f
34,kunalpingle,Tuesday,09:30 - 10:30,Yoga,JN-005,FY,MTECHEMOBILI-SECA,f
35,kishanprasadgunale,Tuesday,10:45 - 12:45,Au-motive Embedded Systems(LAB),JN-008,FY,MTECHEMOBILI-SECA,f
36,bharatchaudhari,Tuesday,13:30 - 14:30,Research Methodology for eMobility,JN-005,FY,MTECHEMOBILI-SECA,f
37,gaurangmulay,Tuesday,14:30 - 15:30,Power Electronics for EV,JN-005,FY,MTECHEMOBILI-SECA,f
38,kishanprasadgunale,Tuesday,15:30 - 16:30,Au-motive Embedded Systems,JN-005,FY,MTECHEMOBILI-SECA,f
39,kishanprasadgunale,Wednesday,09:30 - 10:30,Au-motive Embedded Systems,JN-008,FY,MTECHEMOBILI-SECA,f
40,saketyeolekar,Wednesday,10:45 - 11:45,Electric and Hybrid Vehicles,JN-105,FY,MTECHEMOBILI-SECA,f
41,gaurangmulay,Wednesday,11:45 - 12:45,Power Electronics for EV,JN-005,FY,MTECHEMOBILI-SECA,f
42,bharatchaudhari,Wednesday,13:30 - 14:30,Research Methodology for eMobility,JN-008,FY,MTECHEMOBILI-SECA,f
43,saketyeolekar,Thursday,09:30 - 10:30,Electric and Hybrid Vehicles,JN-005,FY,MTECHEMOBILI-SECA,f
44,gaurangmulay,Thursday,10:45 - 12:45,Power Electronics for EV(LAB),JN-008,FY,MTECHEMOBILI-SECA,f
45,saketyeolekar,Friday,10:45 - 11:45,Electric and Hybrid Vehicles,JN-105,SY,MTECHEMOBILI-SECA,f
46,bharatchaudhari,Friday,11:45 - 12:45,Research Methodology for eMobility(TUT),JN-105,SY,MTECHEMOBILI-SECA,f
47,anjalipurohit,Friday,08:30 - 09:30,Intelligent Systems and EV Security,JN-105,SY,MTECHEMOBILI-SECA,f
48,anjalipurohit,Friday,09:30 - 10:30,Intelligent Systems and EV Security,JN-105,SY,MTECHEMOBILI-SECA,f
49,amitnehete,Friday,10:45 - 11:45,Smart Grid Systems,JN-005,SY,MTECHEMOBILI-SECA,f
50,amitnehete,Friday,11:45 - 12:45,Smart Grid Systems,JN-105,SY,MTECHEMOBILI-SECA,f
51,shwetakukade,Friday,13:30 - 14:30,Vehicular Network and Communication,JN-005,SY,MTECHEMOBILI-SECA,f
52,shwetakukade,Friday,14:30 - 15:30,Vehicular Network and Communication,JN-105,SY,MTECHEMOBILI-SECA,f
53,amitnehete,Friday,15:30 - 16:30,Project Stage-I,JN-105,SY,MTECHEMOBILI-SECA,f
54,amitnehete,Saturday,08:30 - 09:30,Smart Grid Systems,JN-105,SY,MTECHEMOBILI-SECA,f
55,amitnehete,Saturday,09:30 - 10:30,Smart Grid Systems,JN-105,SY,MTECHEMOBILI-SECA,f
